Post ID,Network,Account Handle,Published At,Type,Message,URL,Favorites,Replies,Retweets,Impressions,Followers,Synthetic
csv_x_tharoor_001,twitter,ShashiTharoor,2026-06-14T18:32:00Z,Tweet,"The question is not whether we can afford this, but whether we can afford to keep postponing it.",https://x.com/ShashiTharoor/status/csv001,"12,400",831,2140,"486,000",1800000,true
csv_x_tharoor_002,twitter,ShashiTharoor,2026-06-16T07:05:00Z,Photo,Morning at the constituency office. Forty-one grievances heard before noon.,https://x.com/ShashiTharoor/status/csv002,8210,402,930,312000,,true
csv_x_tharoor_003,twitter,ShashiTharoor,2026-06-18T20:15:00Z,Reel,"A two-minute answer to a question I get constantly: why does parliamentary debate matter when nobody watches it?",https://x.com/ShashiTharoor/status/csv003,31200,1890,7640,1.2M,,true
csv_x_tharoor_004,twitter,ShashiTharoor,2026-06-21T11:40:00Z,Link,My column this week on the fiscal implications of the new scheme.,https://x.com/ShashiTharoor/status/csv004,3410,188,410,98000,,true
csv_x_tharoor_005,twitter,ShashiTharoor,2026-06-24T19:50:00Z,Text,"Three separate figures for the same scheme, in three separate speeches, in one week. The House deserves to know which one is true.",https://x.com/ShashiTharoor/status/csv005,28900,2240,8120,,,true
csv_x_tharoor_006,twitter,ShashiTharoor,2026-06-27T09:12:00Z,Album,Photographs from yesterday's visit to the coastal ward.,https://x.com/ShashiTharoor/status/csv006,9840,367,1120,401000,,true
csv_x_tharoor_007,twitter,ShashiTharoor,2026-07-01T21:05:00Z,Reel,"On why precision in language is not pedantry — it is the difference between a promise and a press release.",https://x.com/ShashiTharoor/status/csv007,44100,3010,11200,1.8M,,true
csv_x_tharoor_008,twitter,ShashiTharoor,2026-07-04T13:25:00Z,Photo,At the literature festival this afternoon.,https://x.com/ShashiTharoor/status/csv008,7620,290,640,268000,,true
csv_x_tharoor_009,twitter,ShashiTharoor,2026-07-08T20:40:00Z,Text,"Responding point by point, because letting an allegation stand unanswered is how it becomes received wisdom.",https://x.com/ShashiTharoor/status/csv009,33800,2870,9450,1.1M,,true
csv_x_tharoor_010,twitter,ShashiTharoor,2026-07-12T08:55:00Z,Link,Full text of my submission to the Standing Committee.,https://x.com/ShashiTharoor/status/csv010,2980,145,362,87000,,true
csv_x_tharoor_011,twitter,ShashiTharoor,2026-07-16T19:20:00Z,Reel,"Ninety seconds on the education funding formula, and the one number nobody quotes.",https://x.com/ShashiTharoor/status/csv011,38700,2410,9880,1.5M,,true
csv_x_tharoor_012,twitter,ShashiTharoor,2026-07-19T15:10:00Z,Status,Grateful for the warm reception at today's public event.,,5120,201,388,174000,,true
